iteration,barl,bayes,epopt
0.0,-81.45295599092402,-97.54601332480297,-108.52175884839558
1.0,-79.68210186327387,-96.7365236698223,-105.81881077304541
2.0,-77.48976116501717,-94.02637357544198,-102.97000093489923
3.0,-74.7017521756742,-89.39126808561507,-100.44343658107857
4.0,-72.85142448830025,-88.59789129115867,-96.71921577575269
5.0,-72.43395386834604,-87.40114217909786,-94.41239446607305
6.0,-68.65241141172854,-85.27312523060199,-91.76787412429924
7.0,-66.64748879444261,-83.64671904218173,-88.59619958648693
8.0,-64.1851685063705,-82.01323387346359,-86.35233463837504
9.0,-65.29677311271875,-79.43770392982843,-84.24379473931441
10.0,-60.596268724095275,-77.39046834933164,-81.45541453091445
11.0,-59.333369156257554,-75.2651148460902,-79.57521142842663
12.0,-56.58846430441414,-72.79684595985744,-76.81670638687673
13.0,-55.325464667276705,-70.37521355931592,-73.84382509118463
14.0,-54.177282128092884,-69.89665832671086,-72.62787130460637
15.0,-51.74508615302103,-67.51832459560177,-69.49233220614485
16.0,-50.8781909705154,-66.24045585078166,-66.03619216759341
17.0,-48.798998521516346,-64.59609058588823,-66.45457274581518
18.0,-47.20472589293428,-61.75556799800808,-62.57326831152507
19.0,-46.43705867570222,-58.08014898888651,-61.34884176671149
20.0,-45.00823291365931,-55.49103451459368,-56.48208013138478
21.0,-42.98855787580288,-53.68519742065684,-55.04569333453104
22.0,-39.73441462251075,-51.53760114224785,-51.3262738868166
23.0,-38.048688628337885,-48.57643709716323,-48.586954502838395
24.0,-35.58578811228572,-50.0694315862459,-45.9925214052289
25.0,-36.769806586403135,-46.34403232955386,-43.232933496200744
26.0,-37.33993376621864,-44.67054246567775,-38.82836727654217
27.0,-36.30665041469093,-42.46741827868221,-38.41223067235123
28.0,-33.57497054659989,-39.27229368190261,-33.28782027006176
29.0,-31.824150901776143,-38.8818355186677,-31.71236372335333
30.0,-33.57978612991724,-33.18318540076708,-28.770815401854804
31.0,-31.07233369292868,-35.324280294389915,-24.14598036636788
32.0,-30.44628994666791,-35.33656311803363,-21.81154058043127
33.0,-28.64050837234267,-33.48918511281,-19.75847407269486
34.0,-28.534037467506458,-28.65707335097725,-15.146005076834228
35.0,-25.944396101678127,-24.71163665418668,-14.863745987230635
36.0,-26.95727343862146,-26.677789902311567,-12.238303916872667
37.0,-27.089977711787338,-24.234923450735923,-8.34065134131171
38.0,-24.29512876484467,-25.77839770357616,-9.258490362786468
39.0,-23.617438289261884,-21.68143469710176,-4.935571187819009
40.0,-20.767961679281715,-20.35522056946918,-0.5211860444718732
41.0,-20.189798636541425,-17.068887285392535,-0.026245861623545353
42.0,-21.260383561491672,-18.57225558057277,2.481680234766718
43.0,-20.24086096214783,-14.0373143536077,6.511078422318364
44.0,-18.512715320320083,-16.00890483498012,6.931321892938791
45.0,-17.09898275406511,-9.867811628673081,8.293692657826032
46.0,-22.489902733620077,-13.831196090954691,11.07228115721683
47.0,-16.653429818094747,-12.781733802710125,12.291017793395778
48.0,-18.040761925675653,-10.038996918688436,15.60005883184145
49.0,-17.251605592502248,-8.931356907091361,20.70822290000101
50.0,-15.184100576001699,-8.279865443508257,21.583398306520365
51.0,-16.713032249118747,-5.109605317987658,19.75913022598932
52.0,-13.902337844333932,-5.924131538846063,18.02784246642726
53.0,-15.5763138101331,-5.293566479377909,25.34735520051081
54.0,-11.149810251525576,-0.6567725827972972,22.23570039320072
55.0,-14.147199527518575,-1.0213723693882166,25.456170998133732
56.0,-14.293123280866029,1.823297355440649,27.586056058717084
57.0,-9.294903605119712,1.6784530657617034,31.946589233130123
58.0,-10.271813323118101,2.143320255285795,32.20162292109087
59.0,-12.27731308229484,5.219818696902552,30.97343039481562
60.0,-6.707479965026007,2.2707592773866345,31.895214038232684
61.0,-8.381449547091336,4.0841613787649225,37.412657827914934
62.0,-9.453671249898306,3.494284343944979,35.314352018210975
63.0,-9.341812968993205,5.880691374833594,37.460550785139006
64.0,-10.067881213318886,6.8118621934316765,34.30380707192823
65.0,-8.608309023477656,6.365778702608881,42.2321661585685
66.0,-4.82700703022975,4.980389578736638,44.38379223878818
67.0,-6.27002913156051,7.798684251454186,46.86382926756594
68.0,-9.656964803836779,14.314391377327029,42.052807226919974
69.0,-6.220261419924813,11.21993837457931,44.925194507215174
70.0,-2.554423451869241,14.153746592704234,42.60008411109081
71.0,-0.8129433970304708,15.528584993605323,50.76167082674008
72.0,-1.791833716379566,14.11699655798293,49.369239606550494
73.0,-3.914690470109421,16.473219485802705,46.844863871480115
74.0,1.6864860676291318,18.55931555374303,51.2594502332325
75.0,-1.4468053711112079,16.256197804117196,52.192419351671674
76.0,-1.3631868159732148,24.501810017900496,49.425687796592555
77.0,2.5943556084740558,17.377233581016576,57.66089804719224
78.0,1.4827937449297641,19.545116009729412,50.98147277862073
79.0,-4.510698897683763,20.06422586532087,53.71423125230698
80.0,0.8040592608977422,20.008525979500728,52.698369632404244
81.0,-0.4631554257668176,20.461404127362375,51.66673652765171
82.0,3.595909005763915,19.427653205896437,57.04074596227278
83.0,1.0944473767297604,21.41886488082297,52.1469516266284
84.0,4.3353711306258305,27.126882628621694,53.345420760043325
85.0,5.428197224454721,25.417122275916903,57.27572815184559
86.0,6.7588842746147035,28.75878252705975,62.419097362915345
87.0,4.2498522476458325,21.647253477310894,62.67319815402716
88.0,8.430315678203279,28.165083424641367,56.76452464460737
89.0,3.403195988888954,32.424411704306074,58.692348692352475
90.0,2.2172575535184076,23.175643441202077,63.66482828140886
91.0,6.560639818451222,25.67010927503038,63.200846000686
92.0,5.377434201898957,31.81936996547383,56.9837252478897
93.0,6.6253596160224095,36.654968119740474,66.14907466852382
94.0,10.660130115079308,31.119993944580468,53.1951298612265
95.0,9.545269393571445,25.92387881297586,59.31198628740806
96.0,5.411790217200494,28.454006795935456,65.41250919935092
97.0,8.202490745940466,36.2015877160848,63.96048571019955
98.0,5.143387136346286,32.99428193549148,68.9317361676786
99.0,13.063026307752,37.66485472291097,63.921541347013836
100.0,10.449149116885847,28.891124042036907,57.146947664644664
101.0,9.114325354288301,33.45654916259137,69.43095281580185
102.0,15.61241329919828,36.596552237411295,67.7719440556083
103.0,11.420568108943435,37.66853697979453,62.212878319902735
104.0,17.067207893785948,33.31150127586035,64.9753226639052
105.0,17.05502605368231,33.251174703108966,70.48079824072686
106.0,15.061203470054375,36.97532641092163,70.34823989628003
107.0,16.194351558444655,34.68914183588569,64.29864813783948
108.0,15.126917844197262,31.499673657084575,65.19794489624161
109.0,11.918685825326792,39.13212505994268,67.42944676091805
110.0,16.114761606908107,39.30641052164942,67.19281759832518
111.0,18.755664421043758,38.065401079917386,72.96577692906463
112.0,20.938964853609267,38.802897199636824,72.33838202870191
113.0,18.13782140441702,42.52744842993617,71.29389304307476
114.0,19.428915776232273,43.1267057290801,70.45256697558433
115.0,18.824844228101583,36.74536509138719,70.89924991921997
116.0,20.595032959065204,41.66017149605102,72.0422679340717
117.0,18.156863373738762,43.008042376532075,68.99290026123627
118.0,20.306190175794836,43.41688221962541,74.69292862271749
119.0,23.709799022708278,46.52335118073004,74.34127765513608
120.0,20.73187632467034,43.809433137610306,80.54160382504762
121.0,22.117295428344992,41.52134276307266,73.37574811599173
122.0,24.155128787369726,47.23568922906797,76.85226280338014
123.0,25.338102987416363,47.40096617299327,75.24852569105033
124.0,23.669574398324407,43.888640025027634,73.89584794547817
125.0,24.855826100990694,46.34963198094472,81.93101130721222
126.0,22.128614905213958,48.02278703607339,79.69526251146222
127.0,24.245661938406418,45.90499513273123,70.38981769674784
128.0,25.457105368292048,46.07135986590614,75.2159363985748
129.0,26.689496626398775,48.77438050336921,77.96010089249027
130.0,25.883948956869055,41.31855489481872,82.24865197694875
131.0,27.09041227009197,50.40031623092938,76.7078903025166
132.0,25.57125279216542,48.50935461208083,79.2236555683012
133.0,26.64064920873373,50.08853286749646,73.89642012345443
134.0,27.49819862154885,49.81467109129282,76.82923699670454
135.0,27.778328815105684,47.01898232009828,84.54939623831974
136.0,22.802080271285924,47.64590630361876,77.57774537955744
137.0,28.595126782859396,52.26572883821552,83.74461319546211
138.0,28.207732643161055,52.521083233048515,82.65869912145092
139.0,28.6716321614032,55.92739908520174,78.24663670982346
140.0,28.721731022864617,53.40952181058347,82.24653785841119
141.0,30.620169227053857,57.359063153519436,77.92418162442698
142.0,28.92222242686335,49.59479537585606,82.85900689267004
143.0,32.34019824900947,55.37252477918236,80.05123354947996
144.0,33.485515200121036,58.46590774073957,91.6616650894285
145.0,32.947390854437145,49.09042232249195,76.18687429701589
146.0,30.23623411616109,50.48054677061822,86.17112057039054
147.0,32.54414035431179,49.85443879541991,82.58734800930455
148.0,27.096043418023147,51.04710285964109,82.22974308926595
149.0,29.00220766344203,59.03203910372656,90.93867368523179
150.0,29.64720858699597,55.27953096013088,86.11697475847123
151.0,30.750736894580317,50.59861131570779,86.11697475847123
152.0,33.02755074502111,58.4616532658035,86.11697475847123
153.0,36.71093008788364,55.241045938405364,86.11697475847123
154.0,33.9797171548264,61.627340440731864,86.11697475847123
155.0,31.52773114208534,56.61984430820746,86.11697475847123
156.0,34.2417752263871,58.86512750969438,86.11697475847123
157.0,32.862986672893264,53.54545548094213,86.11697475847123
158.0,35.624821936828084,58.50396263381552,86.11697475847123
159.0,36.15775259590537,52.674317935897385,86.11697475847123
160.0,38.729641480314584,58.178648159185634,86.11697475847123
161.0,34.84702423886308,58.96498339732984,86.11697475847123
162.0,37.004074364107666,59.66840308479086,86.11697475847123
163.0,38.71539526875902,59.12614911428784,86.11697475847123
164.0,37.497697764869315,61.57896722955735,86.11697475847123
165.0,36.22239832227358,55.7567258897699,86.11697475847123
166.0,40.205646095241114,61.091930932946724,86.11697475847123
167.0,36.24638443633495,63.517709903943334,86.11697475847123
168.0,37.759909957291796,61.9303913320123,86.11697475847123
169.0,41.13497755726288,63.40348778291484,86.11697475847123
170.0,37.943364874433755,60.71986856794596,86.11697475847123
171.0,39.221158421148125,63.782840608219765,86.11697475847123
172.0,38.3331321874473,59.41853062526419,86.11697475847123
173.0,36.59697101577391,61.205689732691354,86.11697475847123
174.0,38.70231538825241,61.3401024011675,86.11697475847123
175.0,43.0176472328633,58.72525242099067,86.11697475847123
176.0,43.01658348695995,62.10068694345396,86.11697475847123
177.0,35.631188203840345,65.95516123295643,86.11697475847123
178.0,42.859061193007584,65.97238371590906,86.11697475847123
179.0,38.51476230851406,62.86941692475894,86.11697475847123
180.0,37.9105642243095,62.69777280184971,86.11697475847123
181.0,41.023910385924744,57.35197307380904,86.11697475847123
